id;action;trade_in_price;min_trade_out_price;min_profit_points;better_tradeout_price;better_trade_out_profit_points;actual_tradeout_price;actual_profit_points;sl_points;trade_status;trade_results;trade_in_time;trade_out_time;trade_duration;trade_date;trade_suggestion_time;trade_type;actual_pl;sl_price;current_market_price
1;SELL;58865;93336;91131;35096;33198;99503;77753;78583;EXECUTED;NEUTRAL;2021-04-01T19:39:40;2021-04-02T01:04:28;61008;2021-04-02;2021-04-02T05:38:50;MIS;88234;98711;6404
2;WAIT;89014;79117;39217;30519;21559;61471;32844;41329;EXECUTED;SUCCESS;2021-04-01T22:17:39;2021-04-01T22:36:50;74484;2021-04-01;2021-04-02T05:41:43;CO;35859;93102;89166
3;BUY;41005;68248;11429;65521;94278;21152;81723;82915;PENDING;NEUTRAL;2021-04-01T16:14:53;2021-04-01T22:04:27;72845;2021-04-01;2021-04-01T17:55:36;NRML;26289;1564;67238
4;SELL;39013;80121;95193;26001;75758;81829;54675;81429;COMPLETED;NEUTRAL;2021-04-01T20:13:46;2021-04-02T02:10:38;58661;2021-04-01;2021-04-02T08:37:58;CO;98691;59749;88682
5;WAIT;7953;31938;41195;26752;75934;53025;51605;19823;PENDING;SUCCESS;2021-04-01T17:37:49;2021-04-01T16:51:42;20970;2021-04-02;2021-04-01T23:12:36;MIS;34416;38390;81903
6;WAIT;81404;25763;41282;91500;75394;99211;58683;68809;COMPLETED;SUCCESS;2021-04-01T14:49:25;2021-04-01T22:34:06;99737;2021-04-02;2021-04-01T21:38:06;MIS;45690;25429;22814
7;BUY;96364;17735;66869;8981;67522;68516;12356;55357;PENDING;FAILURE;2021-04-01T19:25:41;2021-04-01T21:14:59;84214;2021-04-01;2021-04-01T21:47:23;CO;83571;9659;17146
8;BUY;66570;58307;36470;97446;71058;6516;71891;82471;PENDING;NEUTRAL;2021-04-02T12:38:27;2021-04-02T10:42:37;70091;2021-04-02;2021-04-01T19:04:43;MIS;13426;80299;31019
9;WAIT;73762;11066;87984;98539;25688;80042;76205;35236;PENDING;SUCCESS;2021-04-01T14:11:14;2021-04-01T20:52:13;98341;2021-04-02;2021-04-02T11:53:21;MIS;90992;49961;29379
10;SELL;79755;7052;8010;45041;98825;84612;50254;32987;PENDING;SUCCESS;2021-04-02T07:18:22;2021-04-01T19:00:10;15934;2021-04-02;2021-04-01T16:39:51;MIS;76194;96102;83743
