id;my_wish_note;start_date;fulfilled;fulfilled_date;duration;category
1;hacking Automotive;2021-04-01;true;2021-04-02;23280;MISC
2;monetize Buckinghamshire;2021-04-01;false;2021-04-02;85042;FINANCES
3;Unbranded Jamahiriya synergy;2021-04-02;false;2021-04-01;32679;MISC
4;Senior Wooden Marketing;2021-04-02;true;2021-04-02;87745;HEALTH
5;Chair maroon;2021-04-02;false;2021-04-02;9638;LOVE
6;Borders;2021-04-02;true;2021-04-02;90684;MISC
7;Idaho XSS Wisconsin;2021-04-02;true;2021-04-02;15008;LOVE
8;solution didactic;2021-04-02;false;2021-04-02;2179;LOVE
9;Strategist unleash Territories;2021-04-02;false;2021-04-02;61454;FINANCES
10;PNG;2021-04-01;false;2021-04-01;62506;LOVE
